1	7452564
2	1044748
3	690657
5	485071
6	352857
7	476742
8	163789
9	132657
11	107481
12	87766
13	72788
14	111637
15	43271
16	36924
18	31286
19	26595
20	42644
21	16904
22	14874
24	12701
25	10923
26	9541
27	15728
28	6386
29	5610
31	4897
32	4282
33	7104
34	2995
35	2622
36	2229
38	2017
39	1836
40	2865
41	1230
42	1113
44	990
45	897
46	1466
47	592
48	527
49	475
51	449
52	390
53	613
54	250
55	252
57	193
58	190
59	184
60	295
61	128
62	116
64	90
65	92
66	122
67	76
68	59
70	61
71	51
72	55
73	69
74	32
75	26
77	28
78	23
79	24
80	12
81	20
83	8
84	11
85	25
86	20
87	6
88	4
90	5
91	7
92	6
93	1
94	4
95	7
97	3
98	1
99	8
100	4
101	1
103	1
104	0
105	2
106	1
107	1
108	1
110	1
111	1
112	3
113	0
114	1
116	0
117	0
118	1
