0.010	0.0	0.6535
0.015	0.0	0.8239
0.020	0.0	0.9379
0.025	0.0	1.03
0.030	0.0	1.103
0.035	0.0	1.1707
0.040	0.0	1.2395
0.045	0.0	1.3251
0.050	0.0	1.3858
0.055	0.0	1.4429
0.060	0.0	1.5224
0.065	0.0	1.6025
0.070	0.0	1.6852
0.075	0.0	1.7489
0.080	0.0	1.851
0.085	0.0	1.9024
0.090	0.0	1.9954
0.095	0.0	2.0757
0.100	0.0	2.1613
0.105	0.0	2.2546
0.110	0.0	2.3398
0.115	0.0	2.4048
0.120	0.0	2.4986
0.125	0.0	2.611
0.130	0.0	2.6904
0.135	0.0	2.781
0.140	0.0	2.8851
0.145	0.0	2.9632
0.150	0.0	3.0451
0.155	0.0	3.1449
0.160	0.0	3.2249
0.165	0.0	3.3263
0.170	0.0	3.4249
0.175	0.0	3.5448
0.180	0.0	3.6365
0.185	0.0	3.7337
0.190	0.0	3.8577
0.195	0.0	3.9763
0.200	0.0	4.0879
0.205	0.0	4.2089
0.210	0.0	4.318
0.215	0.0	4.4772
0.220	0.0	4.5556
0.225	0.0001	4.7079
0.230	0.0001	4.8008
0.235	0.0	4.971
0.240	0.0	5.1232
0.245	0.0	5.2595
0.250	0.0	5.3763
0.255	0.0001	5.5463
0.260	0.0003	5.7073
0.265	0.0002	5.8479
0.270	0.0001	6.02
0.275	0.0007	6.2041
0.280	0.0003	6.3121
0.285	0.0003	6.536
0.290	0.0006	6.7169
0.295	0.0011	6.9134
0.300	0.0003	7.0794
0.305	0.0012	7.233
0.310	0.001	7.4484
0.315	0.0012	7.6533
0.320	0.0018	7.9121
0.325	0.0021	8.0904
0.330	0.0022	8.2935
0.335	0.0028	8.5809
0.340	0.004	8.7939
0.345	0.0045	8.9853
0.350	0.0046	9.3557
0.355	0.0058	9.5653
0.360	0.007	9.9133
0.365	0.0079	10.1607
0.370	0.0087	10.3276
0.375	0.0093	10.7725
0.380	0.0127	11.0592
0.385	0.0161	11.3709
0.390	0.0153	11.7522
0.395	0.0164	12.1266
0.400	0.0201	12.4679
0.405	0.025	12.7682
0.410	0.0279	13.2823
0.415	0.0268	13.4673
0.420	0.0309	13.8507
0.425	0.0387	14.357
0.430	0.0412	14.7897
0.435	0.0459	15.2972
0.440	0.0528	15.7616
0.445	0.0599	16.2531
0.450	0.0677	16.7502
0.455	0.0773	17.2761
0.460	0.0826	17.8069
0.465	0.0905	18.4475
0.470	0.0994	18.8719
0.475	0.1034	19.4044
0.480	0.1208	20.1597
0.485	0.1282	20.6724
0.490	0.1383	21.3799
0.495	0.1512	22.1475
0.500	0.1653	23.0487
0.505	0.1847	23.6764
0.510	0.1888	23.9992
0.515	0.2121	25.2166
0.520	0.234	25.9505
0.525	0.2453	26.8738
0.530	0.2621	27.6729
0.535	0.2914	28.6281
0.540	0.3039	29.3684
0.545	0.321	30.1405
0.550	0.3343	30.9247
0.555	0.3623	32.1536
0.560	0.3755	33.1086
0.565	0.4052	34.1505
0.570	0.4205	35.2271
0.575	0.4492	36.4573
0.580	0.4746	37.5792
0.585	0.4849	38.1224
0.590	0.5182	39.6687
0.595	0.5284	40.3962
0.600	0.5666	41.962
0.605	0.5882	42.8386
0.610	0.6112	44.1341
0.615	0.6303	45.516
0.620	0.6443	46.3166
0.625	0.6682	47.6286
0.630	0.6943	49.3626
0.635	0.7154	50.2943
0.640	0.725	51.2574
0.645	0.7539	52.6284
0.650	0.7726	53.8848
0.655	0.7883	54.8917
0.660	0.8069	56.0672
0.665	0.8243	57.2411
0.670	0.8284	58.092
0.675	0.844	59.515
0.680	0.8557	60.5543
0.685	0.8774	61.8055
0.690	0.8907	63.072
0.695	0.9004	64.334
0.700	0.907	64.9782
0.705	0.9189	65.9791
0.710	0.9264	67.0108
0.715	0.9426	68.1923
0.720	0.9453	68.5941
0.725	0.9508	69.8062
0.730	0.9555	70.8015
0.735	0.9584	71.1733
0.740	0.967	72.9826
0.745	0.9677	73.2636
0.750	0.977	73.7153
0.755	0.982	74.5403
0.760	0.9832	75.0271
0.765	0.9851	76.1942
0.770	0.9889	76.8604
0.775	0.9879	77.5109
0.780	0.9913	77.9441
0.785	0.9929	78.7111
0.790	0.9941	79.4018
0.795	0.995	79.9018
0.800	0.9951	80.5271
0.805	0.9958	80.9505
0.810	0.9981	81.5544
0.815	0.9979	81.8016
0.820	0.9984	82.4628
0.825	0.9995	83.1646
0.830	0.9988	83.4289
0.835	0.9993	83.9712
0.840	0.9992	84.4151
0.845	0.9998	85.2165
0.850	0.9996	85.8166
0.855	1.0	86.1686
0.860	0.9999	86.4964
0.865	0.9999	86.9516
0.870	1.0	87.4192
0.875	1.0	87.7663
0.880	0.9999	88.1789
0.885	1.0	88.7262
0.890	1.0	89.1978
0.895	1.0	89.6576
0.900	1.0	90.2606
0.905	1.0	90.6157
0.910	1.0	91.1381
0.915	1.0	91.5647
0.920	1.0	92.0042
0.925	1.0	92.5444
0.930	1.0	92.9858
0.935	1.0	93.5056
0.940	1.0	94.0013
0.945	1.0	94.5098
0.950	1.0	95.0501
0.955	1.0	95.4735
0.960	1.0	95.9756
0.965	1.0	96.4952
0.970	1.0	96.9775
0.975	1.0	97.473
0.980	1.0	98.0288
0.985	1.0	98.5201
0.990	1.0	98.9827
0.995	1.0	99.5014
