1	377
2	55
3	24
4	19
5	5
6	8
7	5
8	8
9	1
10	3
11	0
12	3
13	5
14	1
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	1
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	2
72	2
73	1
74	0
75	1
76	2
77	7
78	5
79	3
80	12
81	16
82	26
83	43
84	79
85	168
86	280
87	456
88	770
89	1018
90	1291
91	1415
92	1418
93	1243
94	835
95	522
96	258
97	94
98	30
99	2
