1	4736
2	984
3	519
4	461
5	228
6	190
6	123
7	80
8	73
9	65
10	44
11	0
12	41
13	30
14	39
15	24
16	23
16	15
17	24
18	9
19	19
20	6
21	0
22	7
23	7
24	8
25	8
26	4
26	6
27	5
28	7
29	3
30	6
31	0
32	8
33	9
34	3
35	4
36	2
36	7
37	9
38	2
39	4
40	4
41	0
42	3
43	8
44	12
45	8
46	9
46	6
47	5
48	10
49	5
50	10
51	0
52	11
53	14
54	10
55	19
56	22
56	15
57	36
58	25
59	31
60	36
61	0
62	35
63	68
64	71
65	60
66	97
66	118
67	124
68	171
69	225
70	275
71	0
72	311
73	400
74	477
75	546
76	657
76	727
77	784
78	781
79	773
80	711
81	0
82	666
83	506
84	386
85	292
86	188
86	89
87	57
88	44
89	19
90	7
91	2
