11	26030
33	348
55	233
77	244
99	204
121	167
143	110
165	63
186	52
208	21
230	17
252	2
274	2
296	2
318	0
340	2
362	1
383	0
405	1
427	0
449	1
471	0
493	0
515	0
537	0
558	0
580	0
602	0
624	0
646	0
668	0
690	0
712	0
733	0
755	0
777	0
799	0
821	0
843	0
865	0
887	0
909	0
930	0
952	0
974	0
996	0
1018	0
1040	0
1062	0
1084	0
1105	0
1127	0
1149	0
1171	0
1193	0
1215	0
1237	0
1259	0
1280	0
1302	0
1324	0
1346	0
1368	0
1390	0
1412	0
1434	0
1456	0
1477	0
1499	0
1521	0
1543	0
1565	0
1587	0
1609	0
1631	0
1652	0
1674	2
1696	0
1718	0
1740	1
1762	2
1784	4
1806	1
1827	3
1849	7
1871	10
1893	32
1915	47
1937	75
1959	137
1981	155
2003	186
2024	222
2046	290
2068	834
2090	2676
2112	3603
2134	1514
2156	192
2178	7
